layer,contrast,metric,mean,ci_low,ci_high
4,WQ - WV,delta_nll,0.00017727166414260864,-0.0005307724699378013,0.0009500298649072629
4,WQ - WV,kl,-6.265723914111732e-05,-0.00015194700049505627,8.240327620114826e-05
4,WK - WV,delta_nll,-0.0006150752305984497,-0.0012722503393888473,1.8921028822659998e-05
4,WK - WV,kl,1.9967882508353796e-05,-0.00011332790095366362,0.0002080542720023003
5,WQ - WK,delta_nll,0.00029096752405166626,-0.0003414284437894821,0.0009391898289322846
5,WQ - WK,kl,8.50577180244727e-05,-6.98778681908152e-05,0.0002736081064313112
5,WQ - WV,delta_nll,-0.00025794096291065216,-0.0010336598381400109,0.0005308245774358503
5,WQ - WV,kl,-0.00015485403218917781,-0.0002865147502461696,-5.0405830575073226e-05
5,WK - WV,delta_nll,-0.0005489084869623184,-0.0012895209714770318,0.00019202097319066488
5,WK - WV,kl,-0.00023991175021365052,-0.0003518265530146891,-0.00016037646303175286
6,WQ - WK,delta_nll,-0.0005101673305034637,-0.0012081350199878217,0.0002165294252336022
6,WQ - WK,kl,0.00018691665718506556,0.00012577880122535134,0.00023362733059002492
6,WQ - WV,delta_nll,-0.0024987850338220596,-0.003406964708119631,-0.0016649133525788787
6,WQ - WV,kl,-0.00030237943974498194,-0.0004581665195928508,-0.00019633279985100676
6,WK - WV,delta_nll,-0.001988617703318596,-0.002837142255157232,-0.0012011487502604724
6,WK - WV,kl,-0.0004892960969300475,-0.0006362628921579017,-0.0003707523227149068
7,WQ - WK,delta_nll,0.00043407827615737915,-0.00029939515516161916,0.001159867737442255
7,WQ - WK,kl,-0.000313008683406224,-0.0004584152595953128,-0.00017592082369901629
7,WQ - WV,delta_nll,-0.0015692207962274551,-0.002396977785974741,-0.0008223836310207848
7,WQ - WV,kl,-0.00041380869606655324,-0.0005098807568856501,-0.00033577408735254723
7,WK - WV,delta_nll,-0.0020032990723848343,-0.0028958031442016365,-0.001075427327305079
7,WK - WV,kl,-0.00010080001266032923,-0.00030281019085123264,7.40830335416829e-05
8,WQ - WK,delta_nll,0.0009315405040979385,0.00017698113806545733,0.0017291650176048268
8,WQ - WK,kl,-0.000192700334082474,-0.0002458638149164472,-0.0001335203387043294
8,WQ - WV,delta_nll,-0.0010622534900903702,-0.0018130934331566095,-0.0003521874547004711
8,WQ - WV,kl,-0.0002684525643417146,-0.00038692121875101294,-0.0001783865749985125
8,WK - WV,delta_nll,-0.0019937939941883087,-0.0029903312213718893,-0.0010820375755429268
8,WK - WV,kl,-7.57522302592406e-05,-0.00020160625026619528,1.1160253689013168e-05
9,WQ - WK,delta_nll,0.0016231313347816467,0.0009100471623241901,0.0024017403833568097
9,WQ - WK,kl,-0.0005765513978985837,-0.0008171684205990459,-0.0004009464492810367
9,WQ - WV,delta_nll,-0.0016838237643241882,-0.002596962172538042,-0.0007695335894823079
9,WQ - WV,kl,-0.0003160981086693937,-0.0004881108809058787,-0.0001499368064742159
9,WK - WV,delta_nll,-0.003306955099105835,-0.004333298094570637,-0.0023215776309371
9,WK - WV,kl,0.00026045328922919,9.929303646458721e-05,0.0004688220858497515
10,WQ - WK,delta_nll,-0.002162918448448181,-0.00312447939068079,-0.0011297828517854234
10,WQ - WK,kl,-0.0004969376104781986,-0.0005795011928057647,-0.0004291228998681618
10,WQ - WV,delta_nll,-0.0021401289850473404,-0.003175209555774927,-0.0011286198161542423
10,WQ - WV,kl,-0.0004952993322149268,-0.0006690480203360494,-0.0003325873867197515
10,WK - WV,delta_nll,2.278946340084076e-05,-0.0011335170362144708,0.0011765562463551755
10,WK - WV,kl,1.6382782632717863e-06,-0.00013367364190344233,0.00014670334626316615
11,WQ - WK,delta_nll,0.00243944488465786,0.001668774848803878,0.0032425354234874235
11,WQ - WK,kl,-2.3629527277080342e-05,-7.101046271600353e-05,3.323707719573576e-05
11,WQ - WV,delta_nll,-0.0023047346621751785,-0.0031224249862134455,-0.001532608922570944
11,WQ - WV,kl,-0.0001428822706657229,-0.00021970940224491642,-4.1083384940066116e-05
11,WK - WV,delta_nll,-0.004744179546833038,-0.005719888024032116,-0.003834376949816944
11,WK - WV,kl,-0.00011925274338864256,-0.00018031448139481653,-5.55259621705773e-05
12,WQ - WK,delta_nll,0.003811260685324669,0.003093249583616853,0.004566183360293507
12,WQ - WK,kl,-2.0856361516052857e-05,-7.005188697348786e-05,4.2261187877556897e-05
12,WQ - WV,delta_nll,0.0033096037805080414,0.0024494292214512826,0.004159775655716657
12,WQ - WV,kl,-0.0008858489209160325,-0.0010689094785902853,-0.0007553510943807851
12,WK - WV,delta_nll,-0.0005016569048166275,-0.0013468509074300527,0.0003204318694770328
12,WK - WV,kl,-0.0008649925593999797,-0.0010458116034897103,-0.0007339436675465552
13,WQ - WK,delta_nll,0.002590300515294075,0.0018777701538056136,0.0033598337788134803
13,WQ - WK,kl,-8.867996439221315e-05,-0.00016797060379758477,6.410968717318603e-06
13,WQ - WV,delta_nll,-0.0002696998417377472,-0.0010510299354791642,0.00048442324623465527
13,WQ - WV,kl,3.774685137614142e-05,-4.263933997208369e-05,0.00017368255839755875
13,WK - WV,delta_nll,-0.002860000357031822,-0.0035516292322427035,-0.0021785588469356303
13,WK - WV,kl,0.00012642681576835457,6.411544263755787e-05,0.00020451827417673478
14,WQ - WK,delta_nll,0.0035256091505289078,0.002591879153624177,0.004447334073483944
14,WQ - WK,kl,7.362120231846347e-05,2.228072125944891e-05,0.00013825154542246307
14,WQ - WV,delta_nll,0.0003522206097841263,-0.0006748422514647245,0.0013717398978769777
14,WQ - WV,kl,-0.00037314192741177976,-0.0004308214960019541,-0.0003079733050526557
14,WK - WV,delta_nll,-0.0031733885407447815,-0.0042552734725177285,-0.0021126539446413525
14,WK - WV,kl,-0.00044676312973024324,-0.0004908723488824762,-0.00040492470598110233
15,WQ - WK,delta_nll,-0.001864193007349968,-0.0028869522735476493,-0.0009026844054460549
15,WQ - WK,kl,-3.303968514956068e-05,-0.00012045340795339144,6.518521718135155e-05
15,WQ - WV,delta_nll,-0.006041644141077995,-0.0073957415763288735,-0.0047644375357776885
