condition,projection,bits,context,sample_id,block_index,n_tokens,input_sha256,labels_sha256,nll,delta_nll,kl
BF16,none,16,2048,15,18,2048,2ad8fea8eaecfc4553fbe62df1d5188f2ba449614bb15e7d1b2abbf345a06b25,94b444d9a3f586aa986876eb813ff24e32e2c4a560e2e6f9dece8e2df242a679,2.473024845123291,0.0,0.0
BF16,none,16,2048,16,141,2048,b7ab366b5b5a4f68aee22bbff6cfe4218a75efcc7c1b2ad2456e37b059101498,2be48fd263dbe7cefc17f7bdc88170c66cc1f4be1d216141a7a3ff6912f00b41,2.667905807495117,0.0,0.0
BF16,none,16,2048,17,130,2048,b62d53caadce94fd5ba6fa7cdfa65ed44699a81a82dca75cc95417b342a3c51e,a963b5699afebb47190fd1b00e793b97d22f8bde30db62ff5205aacff596f9ec,2.57650089263916,0.0,0.0
BF16,none,16,2048,18,133,2048,5797ba35b7ce0b63444139260cd65066076e06aa4b806b1d02e0c8a2b0102414,5a168b747e18c2198035a699c6733e1d2599eec07a962204e9fddc525219ed30,2.5216755867004395,0.0,0.0
BF16,none,16,2048,19,33,2048,d20445cc193883501468e35adfada5878439f438af3dc6844777523111576558,6954d31dd34b120c9ab2b7833f74bd5922bc512f883bc47d94195e8780302755,2.493502616882324,0.0,0.0
BF16,none,16,2048,20,102,2048,57841b4586f83294fc5729b94566df9615b3b04974af798add7ae75c8b79f2d3,7724d043965d6163663a8328c72325922ec1f831eca6cf0624850025699e60d6,2.816531181335449,0.0,0.0
BF16,none,16,2048,21,132,2048,ebe7817d56ad234df4deb7efb8e4a5fca5774e1b3cabc1dd0a0335618ec4961a,a959ae63e8fd1d94df13ae7ce75516b73ed0f39f5cae77994704057859fdec5f,2.5060997009277344,0.0,0.0
BF16,none,16,2048,22,83,2048,0ff04edd0674d3d12caf3774f80e9155f7181b923be2ecc75eb6f9e9be756f41,618e93f2e58f4c7f136a5d1febacad4143402137b30c052b99b7179f437b5ebe,2.1719295978546143,0.0,0.0
BF16,none,16,2048,23,101,2048,810951661c56ef3c1b9b659222ae0bca609f1c07f8036b9e327293da15f371aa,bc0baafb97b97d691efb2a5ec641656058353eb19aef6689403796499044ce4d,2.6006903648376465,0.0,0.0
BF16,none,16,2048,24,7,2048,41e06daa2a7e37533d6fffcf2661e9e0e6bdd80a8f8d18e54bc9be26a76a054a,7e99d981947b5f318bb42da217df580bdce04d5dc13ce96e8c17a147efa7463b,2.3913631439208984,0.0,0.0
